# Position, Conc, Conc_std
-1.310000000000002496e+00,7.761357388108730548e-01,1.028348803295369568e-03
-1.320000000000002283e+00,7.771964116607702477e-01,1.349591809278240370e-03
-1.330000000000002069e+00,7.776484176454210306e-01,1.202109919177404580e-03
-1.340000000000002300e+00,7.782287386288022635e-01,1.044878870812914135e-03
-1.350000000000002531e+00,7.789588602990743516e-01,1.043072725514254716e-03
-1.360000000000002318e+00,7.800170844031998341e-01,1.355133201826151613e-03
-1.370000000000002105e+00,7.807116410052469258e-01,9.966462735167783572e-04
-1.380000000000002336e+00,7.811066327886914129e-01,8.290118799190830667e-04
-1.390000000000002567e+00,7.815978824196889718e-01,9.106265889932198569e-04
-1.400000000000002354e+00,7.822400209529439818e-01,1.069590147122316103e-03
-1.410000000000002141e+00,7.831805361742874005e-01,1.061632359436911512e-03
-1.420000000000002371e+00,7.836111910651948342e-01,8.439533852744978944e-04
-1.430000000000002602e+00,7.842096788721417688e-01,8.945989123657237989e-04
-1.440000000000002389e+00,7.849303540712452287e-01,1.029033589957559962e-03
-1.450000000000002176e+00,7.853885120666717068e-01,9.630760926669695767e-04
-1.460000000000002407e+00,7.858891306411946998e-01,1.111724611917059473e-03
-1.470000000000002638e+00,7.865227040774479539e-01,1.031184493323105116e-03
-1.480000000000002425e+00,7.870708555574893461e-01,1.094070232983048591e-03
-1.490000000000002212e+00,7.876599887693941371e-01,7.959073379512187621e-04
-1.500000000000002442e+00,7.882704509947379146e-01,8.838847082039952676e-04
-1.510000000000002673e+00,7.889702746217082119e-01,8.363424514942604995e-04
-1.520000000000002460e+00,7.894799702677166575e-01,9.668368818260683270e-04
-1.530000000000002247e+00,7.901213883696757145e-01,1.073093199725129454e-03
-1.540000000000002478e+00,7.903967605266956076e-01,8.764334060608649753e-04
-1.550000000000002709e+00,7.907835856625310411e-01,8.694365904823023921e-04
-1.560000000000002496e+00,7.915707769323788723e-01,1.170008346870599894e-03
-1.570000000000002283e+00,7.921381035791108527e-01,1.160241117619055778e-03
-1.580000000000002514e+00,7.926198183312271883e-01,1.022999817651725320e-03
-1.590000000000002744e+00,7.929892544012303590e-01,9.862573891472998198e-04
-1.600000000000002531e+00,7.934042200770706765e-01,9.663305851710843851e-04
-1.610000000000002318e+00,7.935606088876697717e-01,9.153218129910171454e-04
-1.620000000000002549e+00,7.935904007102929647e-01,8.871930588000122644e-04
-1.630000000000002780e+00,7.936148058229630653e-01,8.782355610687510262e-04
-1.640000000000002567e+00,7.936345894904458520e-01,8.718148723490579512e-04
-1.650000000000002354e+00,7.936582884287967099e-01,8.649997660333589005e-04
-1.660000000000002585e+00,7.936777936324427296e-01,8.561897153330315629e-04
-1.670000000000002816e+00,7.937012262637834770e-01,8.476449942680252701e-04
-1.680000000000002602e+00,7.937217876714833809e-01,8.395438090804316616e-04
-1.690000000000002389e+00,7.937460068268112900e-01,8.325848240999431625e-04
-1.700000000000002620e+00,7.937677945739115559e-01,8.256898073822237965e-04
-1.710000000000002851e+00,7.937926769143043293e-01,8.197940830445998341e-04
-1.720000000000002638e+00,7.938155045358183948e-01,8.137708220544295290e-04
-1.730000000000002425e+00,7.938410365660880652e-01,8.087929178093135937e-04
-1.740000000000002656e+00,7.938649684118541661e-01,8.036790934292722000e-04
-1.750000000000002887e+00,7.938912981797915380e-01,7.998264933445134710e-04
-1.760000000000002673e+00,7.939166217518277557e-01,7.959138961164411233e-04
-1.770000000000002460e+00,7.939437573131962189e-01,7.934990523275372958e-04
-1.780000000000002691e+00,7.939702537225690193e-01,7.909510289280870547e-04
-1.790000000000002922e+00,7.939979148583838908e-01,7.898754869620508651e-04
-1.800000000000002709e+00,7.940250462513347429e-01,7.884124395010934502e-04
-1.810000000000002496e+00,7.940528820891692430e-01,7.881912260182407336e-04
-1.820000000000002727e+00,7.940801250599014427e-01,7.873957821694076717e-04
-1.830000000000002958e+00,7.941079285698724455e-01,7.876509950956851963e-04
-1.840000000000002744e+00,7.941350525051978915e-01,7.872934376469951402e-04
-1.850000000000002531e+00,7.941628040801097521e-01,7.878614922501907475e-04
-1.860000000000002762e+00,7.941898469370437530e-01,7.878311759369045980e-04
-1.870000000000002993e+00,7.942176186444530606e-01,7.886381375103367021e-04
-1.880000000000002780e+00,7.942446982289587121e-01,7.888324408225000839e-04
-1.890000000000002567e+00,7.942725450458495429e-01,7.897961731254965218e-04
-1.900000000000002798e+00,7.942997251402735825e-01,7.901012902493769179e-04
-1.910000000000003029e+00,7.943276592532283464e-01,7.911348558370293700e-04
-1.920000000000002816e+00,7.943549446987140383e-01,7.914650716633899429e-04
